Workout Type,Day of the Week,Date,Start Time,End Time,Duration (min),Active Energy (kcal),Avg Heart Rate (bpm),Step Count (count)
Functional Strength Training,Thursday,"Thursday, February 23, 2023",12:02 PM,1:12 PM,70.58,477.69,128.84,1217
Functional Strength Training,Wednesday,"Wednesday, February 22, 2023",11:52 AM,1:00 PM,68.03,484.22,135.92,1273
Functional Strength Training,Tuesday,"Tuesday, February 21, 2023",11:42 AM,12:59 PM,77.17,496.44,124.23,1608
Functional Strength Training,Monday,"Monday, February 20, 2023",11:12 AM,12:54 PM,101.38,591.38,123.56,1704
Walking,Sunday,"Sunday, February 19, 2023",2:16 PM,3:02 PM,45.32,157.31,99.86,3552
Functional Strength Training,Thursday,"Thursday, February 16, 2023",11:20 AM,12:35 PM,75.2,455.07,123.9,1443
Functional Strength Training,Wednesday,"Wednesday, February 15, 2023",11:46 AM,12:58 PM,71.55,502.85,131.84,1876
Functional Strength Training,Tuesday,"Tuesday, February 14, 2023",11:28 AM,12:51 PM,82.7,503.32,119.77,1560
Functional Strength Training,Monday,"Monday, February 13, 2023",11:28 AM,12:51 PM,82.93,541.73,129.39,1469
Functional Strength Training,Friday,"Friday, February 10, 2023",11:30 AM,1:00 PM,89.83,473.13,113.99,1426
Functional Strength Training,Thursday,"Thursday, February 9, 2023",11:25 AM,12:46 PM,81.52,500.27,125.16,1412
Functional Strength Training,Wednesday,"Wednesday, February 8, 2023",11:41 AM,1:02 PM,81.07,516.05,127.9,1469
Functional Strength Training,Tuesday,"Tuesday, February 7, 2023",11:19 AM,12:37 PM,78.63,486.4,123.46,1084
Functional Strength Training,Monday,"Monday, February 6, 2023",11:44 AM,12:57 PM,73.42,457.54,126.73,1518
Functional Strength Training,Friday,"Friday, February 3, 2023",11:43 AM,1:08 PM,84.85,451.89,117.49,1548
Functional Strength Training,Thursday,"Thursday, February 2, 2023",11:39 AM,12:50 PM,71.02,452.31,128.33,1719
Functional Strength Training,Wednesday,"Wednesday, February 1, 2023",11:53 AM,12:59 PM,65.53,432.21,135.23,1372
Functional Strength Training,Tuesday,"Tuesday, January 31, 2023",11:34 AM,12:51 PM,77.67,494.26,125.6,1546
Functional Strength Training,Monday,"Monday, January 30, 2023",11:30 AM,12:45 PM,75.17,454.94,127.84,1338
Functional Strength Training,Saturday,"Saturday, January 28, 2023",10:52 AM,12:10 PM,77.47,451.98,126.32,2397
Functional Strength Training,Friday,"Friday, January 27, 2023",11:48 AM,1:03 PM,74.25,433.65,124.67,1599
Functional Strength Training,Thursday,"Thursday, January 26, 2023",11:41 AM,12:52 PM,71.48,482.87,137.52,1401
Functional Strength Training,Tuesday,"Tuesday, January 24, 2023",11:45 AM,12:56 PM,71.12,442.18,123.26,1358
Functional Strength Training,Monday,"Monday, January 23, 2023",11:40 AM,12:47 PM,67.58,443.68,132.3,1244
Functional Strength Training,Saturday,"Saturday, January 21, 2023",10:57 AM,12:04 PM,67.52,397.96,118.11,1355
Functional Strength Training,Wednesday,"Wednesday, January 18, 2023",4:45 PM,5:50 PM,65.23,394.44,123.61,956
Functional Strength Training,Tuesday,"Tuesday, January 17, 2023",4:40 PM,5:50 PM,70.22,420.91,121.62,2076
Functional Strength Training,Monday,"Monday, January 16, 2023",11:33 AM,1:04 PM,90.55,500.4,121.75,2177
Functional Strength Training,Saturday,"Saturday, January 14, 2023",11:39 AM,12:42 PM,62.7,358.57,121.16,1395
Functional Strength Training,Wednesday,"Wednesday, January 11, 2023",4:16 PM,5:19 PM,63.57,356.25,117.31,1589
Functional Strength Training,Tuesday,"Tuesday, January 10, 2023",11:36 AM,1:01 PM,84.67,494.7,124.37,1531
Functional Strength Training,Monday,"Monday, January 9, 2023",12:23 PM,1:32 PM,68.93,362.5,118.41,1101
Functional Strength Training,Friday,"Friday, January 6, 2023",11:56 AM,1:14 PM,78.38,336.29,106.92,1412
Functional Strength Training,Thursday,"Thursday, January 5, 2023",11:42 AM,1:09 PM,86.9,505.57,123.11,1721
Functional Strength Training,Tuesday,"Tuesday, January 3, 2023",11:47 AM,1:22 PM,95.23,458.84,110.43,1027
Functional Strength Training,Monday,"Monday, January 2, 2023",11:45 AM,1:01 PM,76.95,392.23,114.8,1143
Functional Strength Training,Saturday,"Saturday, December 31, 2022",11:47 AM,1:14 PM,86.35,411.49,107.73,1384
Functional Strength Training,Thursday,"Thursday, December 29, 2022",11:41 AM,12:52 PM,70.78,400,122.86,1286
Functional Strength Training,Tuesday,"Tuesday, December 27, 2022",11:15 AM,12:34 PM,78.6,472.1,125.3,1429
Functional Strength Training,Monday,"Monday, December 26, 2022",11:48 AM,1:13 PM,85.28,482.22,126.56,1788
Functional Strength Training,Friday,"Friday, December 23, 2022",11:10 AM,12:23 PM,72.93,327.27,106.87,1683
Functional Strength Training,Thursday,"Thursday, December 22, 2022",11:46 AM,12:49 PM,63.8,361.59,121.32,1252
Functional Strength Training,Tuesday,"Tuesday, December 20, 2022",11:32 AM,12:48 PM,75.8,453.65,127.01,1290
Functional Strength Training,Monday,"Monday, December 19, 2022",11:29 AM,12:44 PM,74.48,360.32,114.51,1376
Functional Strength Training,Wednesday,"Wednesday, November 30, 2022",4:32 PM,5:28 PM,55.85,369.71,128.14,1658
Functional Strength Training,Tuesday,"Tuesday, November 29, 2022",4:51 PM,5:51 PM,60.08,350.12,121.48,1382
Functional Strength Training,Monday,"Monday, November 28, 2022",4:37 PM,5:37 PM,60.12,304.77,118.28,1259
Functional Strength Training,Saturday,"Saturday, November 26, 2022",10:44 AM,11:48 AM,63.65,313.41,112.82,1512
Functional Strength Training,Friday,"Friday, November 25, 2022",11:34 AM,12:39 PM,64.93,382.46,126.63,1624
Functional Strength Training,Tuesday,"Tuesday, November 22, 2022",11:37 AM,1:00 PM,82.78,453.81,118.79,1425
Functional Strength Training,Monday,"Monday, November 21, 2022",11:15 AM,12:32 PM,76.85,394.66,120.36,1374
Functional Strength Training,Monday,"Monday, November 7, 2022",4:17 PM,5:17 PM,59.92,317.74,117.84,1060
Functional Strength Training,Saturday,"Saturday, November 5, 2022",11:47 AM,12:59 PM,71.8,314.76,102.32,1674
Functional Strength Training,Thursday,"Thursday, November 3, 2022",4:31 PM,5:32 PM,61.55,379.51,121.87,1800
Functional Strength Training,Monday,"Monday, October 31, 2022",4:14 PM,5:22 PM,67.6,338.74,109.34,1747
Functional Strength Training,Saturday,"Saturday, October 29, 2022",11:44 AM,12:39 PM,55.55,266.56,109.6,1037
Functional Strength Training,Friday,"Friday, October 28, 2022",4:11 PM,5:02 PM,50.68,317.32,122.72,1138
Functional Strength Training,Tuesday,"Tuesday, October 25, 2022",4:30 PM,5:36 PM,59.53,332.27,112.77,1339
Functional Strength Training,Monday,"Monday, October 24, 2022",5:05 PM,5:59 PM,54.62,280.3,114.61,1014
Functional Strength Training,Saturday,"Saturday, October 22, 2022",11:52 AM,12:55 PM,63.38,372.33,119.77,1565
Functional Strength Training,Tuesday,"Tuesday, October 18, 2022",4:49 PM,5:51 PM,62.45,351.57,114.74,1380
Functional Strength Training,Monday,"Monday, October 17, 2022",4:39 PM,5:41 PM,62.42,330.52,114.78,1147
Functional Strength Training,Saturday,"Saturday, October 15, 2022",11:45 AM,12:45 PM,59.82,276.25,109.76,1161
Functional Strength Training,Thursday,"Thursday, October 13, 2022",5:07 PM,5:58 PM,51.68,308.86,120.06,1813
